drop,player_id,drop2,valid,event_id,year,tourns0411$tourn_id[[t]]
MM_openBrWindow('ScoreCard.asp?TN=T03,18997,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,16444,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,15965,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,19394,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,18919,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,16018,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,18201,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,19037,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,15541,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,19148,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,19220,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,12805,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,19505,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,13604,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,18944,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,15119,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,15834,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,16282,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,19417,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,15452,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,13214,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,16929,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,14226,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,16322,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,12908,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,18391,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,18917,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,19214,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,14052,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,17085,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,19247,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,19246,"1','','width=790,height=200')",TRUE,T03,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T03,18523,"1','','width=790,height=200')",TRUE,T03,2004,NA
